order_id,department,add_time,mod_time
20071415,HRSD,2015-09-26 20:09:24.948+00,2015-09-26 20:09:24.948+00
20071416,HRSD,2015-09-26 20:09:25.181+00,2015-09-26 20:09:25.181+00
20071417,HRSD,2015-09-26 20:09:25.412+00,2015-09-26 20:09:25.412+00
20071418,HRSD,2015-09-26 20:09:25.636+00,2015-09-26 20:09:25.636+00
20071419,HRSD,2015-09-26 20:09:25.887+00,2015-09-26 20:09:25.887+00
20071420,HRSD,2015-09-26 20:09:26.142+00,2015-09-26 20:09:26.142+00
20071421,HRSD,2015-09-26 20:09:26.371+00,2015-09-26 20:09:26.371+00
20071422,HRSD,2015-09-26 20:09:26.629+00,2015-09-26 20:09:26.629+00
20071423,HRSD,2015-09-26 20:09:26.886+00,2015-09-26 20:09:26.886+00
20071424,HRSD,2015-09-26 20:09:27.151+00,2015-09-26 20:09:27.151+00
20071425,HRSD,2015-09-26 20:09:27.41+00,2015-09-26 20:09:27.41+00
20071426,HRSD,2015-09-26 20:09:27.672+00,2015-09-26 20:09:27.672+00
20071427,HRSD,2015-09-26 20:09:27.936+00,2015-09-26 20:09:27.936+00
20071428,HRSD,2015-09-26 20:09:28.185+00,2015-09-26 20:09:28.185+00
20071429,HRSD,2015-09-26 20:09:28.471+00,2015-09-26 20:09:28.471+00
20071430,PMO,2015-09-26 20:09:28.698+00,2015-09-26 20:09:28.698+00
20071431,PMO,2015-09-26 20:09:28.929+00,2015-09-26 20:09:28.929+00
20071432,PMO,2015-09-26 20:09:29.164+00,2015-09-26 20:09:29.164+00
20071433,FAIT,2015-09-26 20:09:29.408+00,2015-09-26 20:09:29.408+00
20071434,FAIT,2015-09-26 20:09:29.659+00,2015-09-26 20:09:29.659+00
20071435,PMO,2015-09-26 20:09:29.911+00,2015-09-26 20:09:29.911+00
20071436,EC,2015-09-26 20:09:30.174+00,2015-09-26 20:09:30.174+00
20071437,TB,2015-09-26 20:09:30.398+00,2015-09-26 20:09:30.398+00
20071437,TC,2015-09-26 20:09:30.398+00,2015-09-26 20:09:30.398+00
20071438,AGRI-FOOD,2015-09-26 20:09:30.652+00,2015-09-26 20:09:30.652+00
20071438,TB,2015-09-26 20:09:30.652+00,2015-09-26 20:09:30.652+00
20071439,TB,2015-09-26 20:09:30.887+00,2015-09-26 20:09:30.887+00
20071439,TC,2015-09-26 20:09:30.892+00,2015-09-26 20:09:30.892+00
20071440,TB,2015-09-26 20:09:31.115+00,2015-09-26 20:09:31.115+00
20071440,TC,2015-09-26 20:09:31.115+00,2015-09-26 20:09:31.115+00
20071442,CITIZENSHIP,2015-09-26 20:09:31.434+00,2015-09-26 20:09:31.434+00
20071443,FIN,2015-09-26 20:09:31.671+00,2015-09-26 20:09:31.671+00
20071444,FIN,2015-09-26 20:09:31.908+00,2015-09-26 20:09:31.908+00
20071445,DFAIT,2015-09-26 20:09:32.134+00,2015-09-26 20:09:32.134+00
20071446,IA&ND,2015-09-26 20:09:32.394+00,2015-09-26 20:09:32.394+00
20071447,JUS,2015-09-26 20:09:32.625+00,2015-09-26 20:09:32.625+00
20071448,JUS,2015-09-26 20:09:32.868+00,2015-09-26 20:09:32.868+00
20071449,JUS,2015-09-26 20:09:33.093+00,2015-09-26 20:09:33.093+00
20071450,JUS,2015-09-26 20:09:33.327+00,2015-09-26 20:09:33.327+00
20071451,JUS,2015-09-26 20:09:33.553+00,2015-09-26 20:09:33.553+00
20071452,AGRI-FOOD,2015-09-26 20:09:33.793+00,2015-09-26 20:09:33.793+00
20071453,IA&ND,2015-09-26 20:09:34.117+00,2015-09-26 20:09:34.117+00
20071454,JUS,2015-09-26 20:09:34.418+00,2015-09-26 20:09:34.418+00
20071455,JUS,2015-09-26 20:09:34.717+00,2015-09-26 20:09:34.717+00
20071456,PSEP,2015-09-26 20:09:34.98+00,2015-09-26 20:09:34.98+00
20071457,PSEP,2015-09-26 20:09:35.211+00,2015-09-26 20:09:35.211+00
20071458,CWB,2015-09-26 20:09:35.446+00,2015-09-26 20:09:35.446+00
20071459,CWB,2015-09-26 20:09:35.702+00,2015-09-26 20:09:35.702+00
20071460,CWB,2015-09-26 20:09:35.967+00,2015-09-26 20:09:35.967+00
20071461,CWB,2015-09-26 20:09:36.25+00,2015-09-26 20:09:36.25+00
20071462,CWB,2015-09-26 20:09:36.505+00,2015-09-26 20:09:36.505+00
20071463,RESOURCES,2015-09-26 20:09:36.735+00,2015-09-26 20:09:36.735+00
20071464,HERITAGE,2015-09-26 20:09:37.056+00,2015-09-26 20:09:37.056+00
20071465,CWB,2015-09-26 20:09:37.337+00,2015-09-26 20:09:37.337+00
20071466,PMO,2015-09-26 20:09:37.691+00,2015-09-26 20:09:37.691+00
20071467,JUS,2015-09-26 20:09:37.964+00,2015-09-26 20:09:37.964+00
20071468,JUS,2015-09-26 20:09:38.22+00,2015-09-26 20:09:38.22+00
20071469,JUS,2015-09-26 20:09:38.472+00,2015-09-26 20:09:38.472+00
20071470,AGRI-FOOD,2015-09-26 20:09:38.716+00,2015-09-26 20:09:38.716+00
20071471,FIN,2015-09-26 20:09:38.947+00,2015-09-26 20:09:38.947+00
20071472,PMO,2015-09-26 20:09:39.48+00,2015-09-26 20:09:39.48+00
20071473,TC,2015-09-26 20:09:39.769+00,2015-09-26 20:09:39.769+00
20071474,PMO,2015-09-26 20:09:40.002+00,2015-09-26 20:09:40.002+00
20071475,PMO,2015-09-26 20:09:40.285+00,2015-09-26 20:09:40.285+00
20071476,PMO,2015-09-26 20:09:40.521+00,2015-09-26 20:09:40.521+00
20071477,FAIT,2015-09-26 20:09:40.766+00,2015-09-26 20:09:40.766+00
20071478,PMO,2015-09-26 20:09:41.013+00,2015-09-26 20:09:41.013+00
20071479,PMO,2015-09-26 20:09:41.24+00,2015-09-26 20:09:41.24+00
20071480,PMO,2015-09-26 20:09:41.463+00,2015-09-26 20:09:41.463+00
20071481,PMO,2015-09-26 20:09:41.692+00,2015-09-26 20:09:41.692+00
20071482,PMO,2015-09-26 20:09:41.921+00,2015-09-26 20:09:41.921+00
20071483,CITIZENSHIP,2015-09-26 20:09:42.183+00,2015-09-26 20:09:42.183+00
20071484,CITIZENSHIP,2015-09-26 20:09:42.452+00,2015-09-26 20:09:42.452+00
20071485,CITIZENSHIP,2015-09-26 20:09:45.719+00,2015-09-26 20:09:45.719+00
20071486,CITIZENSHIP,2015-09-26 20:09:45.977+00,2015-09-26 20:09:45.977+00
20071487,CITIZENSHIP,2015-09-26 20:09:46.222+00,2015-09-26 20:09:46.222+00
20071488,CITIZENSHIP,2015-09-26 20:09:46.458+00,2015-09-26 20:09:46.458+00
20071489,CITIZENSHIP,2015-09-26 20:09:46.697+00,2015-09-26 20:09:46.697+00
20071490,CITIZENSHIP,2015-09-26 20:09:46.939+00,2015-09-26 20:09:46.939+00
20071491,CITIZENSHIP,2015-09-26 20:09:47.208+00,2015-09-26 20:09:47.208+00
